created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Jan 22 07:31:00 +0000 2024;1749333829096223087;"Gais ada namida no shounan versi koploooo🙀";9;159;104;6294;in;1586992742093103104;1749333829096223087;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1749333829096223087
Sun Jan 21 14:20:13 +0000 2024;1749074423255285989;"Halo ges keti mauuu";9;246;83;6343;in;1586992742093103104;1749074423255285989;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1749074423255285989
Sun Jan 21 12:04:04 +0000 2024;1749040159335862524;"Tftttt🫶🏻 https://t.co/XmaFOkQ3LO";10;127;420;9793;und;1586992742093103104;1749040159335862524;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1749040159335862524
Sat Jan 20 01:30:40 +0000 2024;1748518371019325914;"Makasih ya regi,cuma kamu yang bilang keren🫶🏻🫵🏻";3;110;107;7071;in;1586992742093103104;1748518371019325914;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1748518371019325914
Sat Jan 20 01:19:49 +0000 2024;1748515643807428952;"Pagiiii";1;223;82;5930;in;1586992742093103104;1748515643807428952;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1748515643807428952
Fri Jan 19 16:17:20 +0000 2024;1748379119493238795;"Firs try 😎 https://t.co/nwCfulNHJW";5;174;125;7076;en;1586992742093103104;1748379119493238795;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1748379119493238795
Fri Jan 19 14:29:51 +0000 2024;1748352072540680701;"Idn live yuuu";3;65;46;4577;en;1586992742093103104;1748352072540680701;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1748352072540680701
Fri Jan 19 11:30:31 +0000 2024;1748306940974010595;"Wkwkwk perip aitakatta gaaaa???😺";4;100;56;6058;in;1586992742093103104;1748306940974010595;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1748306940974010595
Fri Jan 19 07:30:17 +0000 2024;1748246486788509728;"https://t.co/ed5j3nFAfC";3;51;85;4486;zxx;1586992742093103104;1748246486788509728;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1748246486788509728
Thu Jan 18 15:53:05 +0000 2024;1748010629334700223;"Besok idn lagiii yaaa";4;71;48;5294;in;1586992742093103104;1748010629334700223;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1748010629334700223
